"","depth","Therm_con","rsq","ste","test"
"1",0.0359000000000016,0.29072876001807,0.989027442874192,0.021548913539428,"2018_08_MLS"
"2",0.162400000000002,0.368142115065517,0.995999116245241,0.0102399210310351,"2018_08_MLS"
"3",0.288900000000002,0.459997791133234,0.997512239514234,0.00645733087568104,"2018_08_MLS"
"4",0.415400000000002,0.534414584126108,0.996269574758887,0.00681045387189885,"2018_08_MLS"
"5",0.541900000000002,0.578413982157776,0.996720279618624,0.00589870394821861,"2018_08_MLS"
"6",0.668400000000002,0.622598484415711,0.996618392906633,0.0055648400414104,"2018_08_MLS"
"7",0.794900000000002,0.658168680430333,0.995471480721466,0.00609523013305502,"2018_08_MLS"
"8",0.921400000000002,0.639843567483537,0.993577944179254,0.00747353166904731,"2018_08_MLS"
"9",1.0478,0.612286020552286,0.993157150475974,0.00806341077405327,"2018_08_MLS"
"10",1.1743,0.603964807215542,0.991631416067234,0.00904696347120906,"2018_08_MLS"
"11",1.3008,0.606162933429462,0.991959715185353,0.00883411286540067,"2018_08_MLS"
"12",1.4273,0.61491688529564,0.991299650257756,0.00906177095588442,"2018_08_MLS"
"13",1.5538,0.627359297568226,0.99108530484696,0.00899176631795254,"2018_08_MLS"
"14",1.6803,0.643038002721896,0.990028018741506,0.00928312000052036,"2018_08_MLS"
"15",1.8068,0.644130675259238,0.990201894323286,0.0091854158266532,"2018_08_MLS"
"16",1.9333,0.635129625347313,0.989545426098824,0.00962579371638051,"2018_08_MLS"
"17",2.0598,0.632585677065907,0.991191080388532,0.00886394181925701,"2018_08_MLS"
"18",2.1863,0.634983184570872,0.98929148352227,0.0097454952768385,"2018_08_MLS"
"19",2.3128,0.611356336057303,0.990349674744974,0.00960386168730711,"2018_08_MLS"
"20",2.4392,0.577016605412974,0.992417632380537,0.00901011826429901,"2018_08_MLS"
"21",2.5657,0.569012437497495,0.992281021653991,0.00921943761440323,"2018_08_MLS"
"22",2.6922,0.583157684721813,0.989554477863183,0.0104790723818233,"2018_08_MLS"
"23",2.8187,0.580123746581126,0.992833623438569,0.00871072997971225,"2018_08_MLS"
"24",2.9452,0.551890432845675,0.99327724513766,0.00886643734598783,"2018_08_MLS"
"25",3.0717,0.530698034178275,0.996317451827182,0.00681383309209858,"2018_08_MLS"
"26",3.1982,0.565056647769656,0.997763579358715,0.00498350105144439,"2018_08_MLS"
"27",3.3247,0.67910781921096,0.995417278125196,0.00594270336335756,"2018_08_MLS"
"28",3.4512,0.759053709449814,0.992191706955558,0.0069513854275069,"2018_08_MLS"
"29",3.5777,0.698633940796703,0.989652687717726,0.00870535154675925,"2018_08_MLS"
"30",3.7041,0.661340316541506,0.984499262283597,0.0112851440733249,"2018_08_MLS"
"31",3.8306,0.725918981732695,0.987100599784889,0.00936654703966649,"2018_08_MLS"
"32",3.9571,0.871678658791301,0.992837839758473,0.00579548869998414,"2018_08_MLS"
"33",4.0836,1.02131634071123,0.994237136167457,0.00443381459512905,"2018_08_MLS"
"34",4.2101,1.13166780668771,0.994760612477728,0.00381439469136579,"2018_08_MLS"
"35",4.3366,1.17848209025672,0.99302988441523,0.00422843310653005,"2018_08_MLS"
"36",4.4631,1.19683454863501,0.992896884770347,0.00420341102620257,"2018_08_MLS"
"37",4.5896,1.18901098441498,0.992921287882984,0.00422374283417195,"2018_08_MLS"
"38",4.7161,1.14858439486367,0.993764383754974,0.00410202860987825,"2018_08_MLS"
"39",4.8426,1.1165208599398,0.993586366225972,0.00428002244077664,"2018_08_MLS"
"40",4.9691,1.12989838423651,0.990961728247016,0.00502734268317266,"2018_08_MLS"
"41",5.0955,1.16962790712062,0.992480234587901,0.00442646578432436,"2018_08_MLS"
"42",5.222,1.19693494416477,0.99322231903704,0.00410497389979176,"2018_08_MLS"
"43",5.3485,1.22576229612297,0.993948451677945,0.00378624474829666,"2018_08_MLS"
"44",5.475,1.25282624879742,0.992779821782704,0.00404874350619943,"2018_08_MLS"
"45",5.60150000000001,1.25966138147592,0.991700642486594,0.00431958221878805,"2018_08_MLS"
"46",5.72800000000001,1.29490713763659,0.990875546584438,0.00440776943969105,"2018_08_MLS"
"47",5.85450000000001,1.34391115227509,0.990714766177088,0.00428464817911966,"2018_08_MLS"
"48",5.98100000000001,1.39963321046008,0.984018584514029,0.00541570939838739,"2018_08_MLS"
"49",6.10750000000001,1.48528227417736,0.983166507341451,0.00523996277410745,"2018_08_MLS"
"50",6.23400000000001,1.57034712839998,0.98082953157573,0.00529526319998885,"2018_08_MLS"
"51",6.3604,1.61081093969107,0.979967004224149,0.00527942072830107,"2018_08_MLS"
"52",6.4869,1.63832946567303,0.976987661396877,0.00557183460916323,"2018_08_MLS"
"53",6.6134,1.63841558303814,0.983035036194758,0.00476904610395156,"2018_08_MLS"
"54",6.7399,1.65347138643279,0.978375533927745,0.00534794388151029,"2018_08_MLS"
"55",6.8664,1.62431030498416,0.978554611058199,0.00542087072665846,"2018_08_MLS"
"56",6.9929,1.6376291403616,0.972323398834687,0.0061277222508379,"2018_08_MLS"
"57",7.1194,1.84376025235589,0.966160833349031,0.00603732128241864,"2018_08_MLS"
"58",7.2459,2.34952159313432,0.941478414582258,0.00631156468733583,"2018_08_MLS"
"59",7.3724,3.57551434023449,0.908477690309849,0.00527996992454967,"2018_08_MLS"
"60",7.4989,6.65559062043529,0.711752593165864,0.00568715670263168,"2018_08_MLS"
"61",7.6253,13.144676400888,0.626637052336191,0.00349278050595111,"2018_08_MLS"
"62",7.7518,19.5259974457062,0.43144016636273,0.00349685957610032,"2018_08_MLS"
