"","Depth","2018_08","2019_05","2021_08","2019_10","2020_02","2021_02"
"1",0.162400000000002,0.517503764981713,0.911685250047026,1.03179015955338,NA,1.34346569310692,1.94273769756735
"2",0.288900000000002,0.679645732477207,0.804797504273006,0.879251444002607,1.1828756113901,0.998770280460401,1.44619760408185
"3",0.415400000000002,0.888804530319786,0.764665545525077,0.769886747205656,0.790061223999646,0.703722664570522,1.0152651767268
"4",0.541900000000002,1.14170783153971,0.680632312205386,0.632125358935423,0.698528671558667,0.6458056213174,0.897691739200227
"5",0.668400000000002,1.64296994122579,0.614086270525644,0.567157906237587,0.616580125286557,0.59951232835916,0.796474412906933
"6",0.794900000000002,2.26833687962145,0.652877405512979,0.564793041848616,0.603703822589132,0.612629314685888,0.778854988472624
"7",0.921400000000002,2.31403206943722,0.713326928641316,0.572660332096174,0.593729236878781,0.629558860893166,0.767388791729522
"8",1.0478,2.19316663487355,0.720745812777322,0.570286757916175,0.60887932063276,0.66737868672236,0.789668833138516
"9",1.1743,2.22144059206542,0.733733116355858,0.572216198383855,0.625359965802232,0.704599434935661,0.812948556527544
"10",1.3008,2.26919192575333,0.764037331501414,0.582450816486062,0.642313338511435,0.738077297278619,0.842072048929145
"11",1.4273,2.39134522320839,0.78707103491652,0.600157221401183,0.659296927615105,0.76915517818738,0.868752212205441
"12",1.5538,2.49855933242821,0.80374327841119,0.614982826806206,0.669959257094001,0.784774355152338,0.879694461409911
"13",1.6803,2.59492063207043,0.810207515152952,0.620812337813081,0.680148969030858,0.798639376080319,0.888429460383119
"14",1.8068,2.42196769227847,0.81102792634457,0.622814488402057,0.682636880342865,0.800214202496058,0.881699737799328
"15",1.9333,2.30305147924311,0.805139896902794,0.629988724308924,0.68446369288879,0.799476358390677,0.873356459114161
"16",2.0598,2.18463176391447,0.803028890933815,0.635092872380376,0.677716093321893,0.781013320359732,0.85264626756982
"17",2.1863,2.00685811453471,0.805718049169883,0.630273649251373,0.670135593358955,0.761489150406633,0.830869939846768
"18",2.3128,1.69831847180047,0.767498654943232,0.614739654127519,0.655593023881201,0.733008710274753,0.800095104525785
"19",2.4392,1.44055867750324,0.714716023873283,0.600760534181709,0.640305934579494,0.704190509124086,0.768013253838567
"20",2.5657,1.33818843836904,0.705190660233172,0.592087471610565,0.619888010642016,0.671943555530246,0.723319829479504
"21",2.6922,1.41081090093603,0.710700198705909,0.576766814410904,0.598848395713867,0.641142074491905,0.679998081148996
"22",2.8187,1.45341649160586,0.670915863087548,0.535635531064607,0.57406612225558,0.625670559271516,0.651223649231414
"23",2.9452,1.31960413954949,0.590268969006575,0.480738661031406,0.548784156932606,0.609880605924591,0.623874954342415
"24",3.0717,1.12459865791966,0.531120290945206,0.4591943382437,0.527778164841183,0.590256263590092,0.613693897075945
"25",3.1982,1.10055011295782,0.550284982617176,0.53654445446901,0.507395752179361,0.566852634146767,0.599767023409745
"26",3.3247,1.28524678739474,0.64956545477242,0.659211213898248,0.474567186135737,0.490983607192617,0.533839404429574
"27",3.4512,1.33256627710136,0.566492472592994,0.543351465980376,0.439766839382359,0.41720110697754,0.46889353283385
"28",3.5777,1.06352845938231,0.363319188385238,0.376769842397835,0.399675178846783,0.377489015981297,0.419978385652641
"29",3.7041,0.962423839879153,0.285929391738767,0.312521134386457,0.358709545377923,0.340706878266674,0.373864094598047
"30",3.8306,1.12267186831324,0.301849186115727,0.305047645938549,0.350852767674973,0.362106100774659,0.383185078299976
"31",3.9571,1.59109344748158,0.366122098723548,0.327337614800223,0.349145915489024,0.386034274873584,0.394803948483695
"32",4.0836,2.27650824329237,0.478331586904482,0.372121260293517,0.402056177339467,0.474081909101116,0.464683815507796
"33",4.2101,2.90194006893601,0.72174784637641,0.45166263930054,0.465838092220851,0.561892748333464,0.53449814106944
"34",4.3366,3.1471339968728,1.0606929171692,0.592207944530548,0.579029615274719,0.641619669535804,0.602074953926645
"35",4.4631,3.26354169045227,1.23320969554329,0.708262474447363,0.70273785262801,0.720016555072066,0.668622050696931
"36",4.5896,3.10927712209336,1.13644812402891,0.628168110974346,0.768066618250911,0.729639513041535,0.681924244806079
"37",4.7161,2.83637809155539,0.901200354756085,0.526224145247437,0.820145338883597,0.739828546162777,0.695872448441949
"38",4.8426,2.57266010347167,0.85963913063808,0.541782217741779,0.844363086777755,0.80912525971501,0.777274813493084
"39",4.9691,2.62874677552133,1.06758110029159,0.713889963453945,0.86185482947694,0.878421973267243,0.858677178544219
"40",5.0955,2.9961819501807,1.31267522074427,0.997962280358172,0.933198123779562,1.00335383280535,1.02328469748741
"41",5.222,3.36894026431011,1.37346677713425,1.14490035011593,1.01842317117164,1.12838453083993,1.18802244389811
"42",5.3485,3.56715489662048,1.40227436222729,1.18042474058651,1.10980457607154,1.21326321632625,1.31609308816395
"43",5.475,3.70956689643561,1.44952755994399,1.20826044724518,1.20286442451733,1.29772498794425,1.44378300373341
"44",5.60150000000001,3.79513448598807,1.49763140520355,1.23564556494687,1.26406380372584,1.35313785529494,1.51129166923495
"45",5.72800000000001,4.26122997719557,1.53027578607631,1.26571705380693,1.31608139801157,1.40796505925315,1.57758700308189
"46",5.85450000000001,4.61917526409508,1.59020998991404,1.31298706192047,1.37425297345589,1.48409125967068,1.65932504553188
"47",5.98100000000001,4.86758809364054,1.74431883946892,1.36405619805256,1.43429612048968,1.56085920509554,1.74152838131926
"48",6.10750000000001,6.12067654201227,1.91627143858812,1.45730772228185,1.50717005876876,1.63025289047523,1.80969153241583
